max_features,vectorizationType,Dataset,Accuracy
250,TF-IDF,AllDataFiltered.csv,43.599433160132264
500,TF-IDF,AllDataFiltered.csv,47.567312234293816
750,TF-IDF,AllDataFiltered.csv,49.59848842701937
1000,TF-IDF,AllDataFiltered.csv,50.212564950401514
1250,TF-IDF,AllDataFiltered.csv,50.44874822862542
1500,TF-IDF,AllDataFiltered.csv,50.49598488427019
1750,TF-IDF,AllDataFiltered.csv,50.44874822862542
2000,TF-IDF,AllDataFiltered.csv,51.20453471894189
2250,TF-IDF,AllDataFiltered.csv,51.34624468587624
2500,TF-IDF,AllDataFiltered.csv,51.062824752007565
2750,TF-IDF,AllDataFiltered.csv,50.921114785073215
3000,TF-IDF,AllDataFiltered.csv,50.921114785073215
3250,TF-IDF,AllDataFiltered.csv,50.68493150684932
3500,TF-IDF,AllDataFiltered.csv,50.07085498346717
3750,TF-IDF,AllDataFiltered.csv,49.97638167217761
4000,TF-IDF,AllDataFiltered.csv,49.92914501653283
4250,TF-IDF,AllDataFiltered.csv,49.64572508266415
4500,TF-IDF,AllDataFiltered.csv,49.59848842701937
4750,TF-IDF,AllDataFiltered.csv,49.031648559282004
5000,TF-IDF,AllDataFiltered.csv,48.98441190363722
5250,TF-IDF,AllDataFiltered.csv,48.700991969768545
5500,TF-IDF,AllDataFiltered.csv,48.46480869154463
5750,TF-IDF,AllDataFiltered.csv,48.3230987246103
6000,TF-IDF,AllDataFiltered.csv,48.03967879074161
6250,TF-IDF,AllDataFiltered.csv,47.567312234293816
6500,TF-IDF,AllDataFiltered.csv,47.37836561171469
6750,TF-IDF,AllDataFiltered.csv,47.42560226735947
7000,TF-IDF,AllDataFiltered.csv,47.18941898913557
7250,TF-IDF,AllDataFiltered.csv,47.37836561171469
7500,TF-IDF,AllDataFiltered.csv,46.95323571091167
7750,TF-IDF,AllDataFiltered.csv,46.6225791213982
8000,TF-IDF,AllDataFiltered.csv,46.52810581010864
8250,TF-IDF,AllDataFiltered.csv,46.24468587623996
8500,TF-IDF,AllDataFiltered.csv,46.339159187529525
8750,TF-IDF,AllDataFiltered.csv,46.10297590930562
9000,TF-IDF,AllDataFiltered.csv,46.19744922059518
9250,TF-IDF,AllDataFiltered.csv,46.055739253660846
9500,TF-IDF,AllDataFiltered.csv,45.819555975436934
9750,TF-IDF,AllDataFiltered.csv,45.819555975436934
10000,TF-IDF,AllDataFiltered.csv,46.055739253660846
10250,TF-IDF,AllDataFiltered.csv,46.055739253660846
10500,TF-IDF,AllDataFiltered.csv,45.914029286726496
10750,TF-IDF,AllDataFiltered.csv,45.77231931979216
11000,TF-IDF,AllDataFiltered.csv,45.6778460085026
11250,TF-IDF,AllDataFiltered.csv,45.583372697213036
11500,TF-IDF,AllDataFiltered.csv,45.488899385923474
11750,TF-IDF,AllDataFiltered.csv,45.53613604156826
12000,TF-IDF,AllDataFiltered.csv,45.53613604156826
12250,TF-IDF,AllDataFiltered.csv,45.20547945205479
12500,TF-IDF,AllDataFiltered.csv,45.111006140765234
12750,TF-IDF,AllDataFiltered.csv,44.96929617383089
13000,TF-IDF,AllDataFiltered.csv,44.87482286254133
13250,TF-IDF,AllDataFiltered.csv,44.59140292867265
13500,TF-IDF,AllDataFiltered.csv,44.355219650448745
13750,TF-IDF,AllDataFiltered.csv,44.16627302786963
14000,TF-IDF,AllDataFiltered.csv,44.11903637222485
14250,TF-IDF,AllDataFiltered.csv,44.16627302786963
14500,TF-IDF,AllDataFiltered.csv,44.024563060935286
14750,TF-IDF,AllDataFiltered.csv,43.977326405290505
