max_features,vectorizationType,Dataset,Accuracy
250,Bag of Words (BoW),AllDataFiltered.csv,42.56022673594709
500,Bag of Words (BoW),AllDataFiltered.csv,46.717052432687765
750,Bag of Words (BoW),AllDataFiltered.csv,48.228625413320735
1000,Bag of Words (BoW),AllDataFiltered.csv,49.97638167217761
1250,Bag of Words (BoW),AllDataFiltered.csv,50.63769485120454
1500,Bag of Words (BoW),AllDataFiltered.csv,50.82664147378365
1750,Bag of Words (BoW),AllDataFiltered.csv,51.724137931034484
2000,Bag of Words (BoW),AllDataFiltered.csv,52.29097779877184
2250,Bag of Words (BoW),AllDataFiltered.csv,52.38545111006141
2500,Bag of Words (BoW),AllDataFiltered.csv,52.66887104393009
2750,Bag of Words (BoW),AllDataFiltered.csv,52.574397732640534
3000,Bag of Words (BoW),AllDataFiltered.csv,52.479924421350965
3250,Bag of Words (BoW),AllDataFiltered.csv,52.952290977798775
3500,Bag of Words (BoW),AllDataFiltered.csv,53.42465753424658
3750,Bag of Words (BoW),AllDataFiltered.csv,53.56636750118091
4000,Bag of Words (BoW),AllDataFiltered.csv,53.660840812470475
4250,Bag of Words (BoW),AllDataFiltered.csv,53.8497874350496
4500,Bag of Words (BoW),AllDataFiltered.csv,53.6136041568257
4750,Bag of Words (BoW),AllDataFiltered.csv,53.18847425602268
5000,Bag of Words (BoW),AllDataFiltered.csv,53.51913084553613
5250,Bag of Words (BoW),AllDataFiltered.csv,53.660840812470475
5500,Bag of Words (BoW),AllDataFiltered.csv,53.3774208786018
5750,Bag of Words (BoW),AllDataFiltered.csv,53.8497874350496
6000,Bag of Words (BoW),AllDataFiltered.csv,54.03873405762872
6250,Bag of Words (BoW),AllDataFiltered.csv,53.991497401983935
6500,Bag of Words (BoW),AllDataFiltered.csv,54.03873405762872
6750,Bag of Words (BoW),AllDataFiltered.csv,53.89702409069438
7000,Bag of Words (BoW),AllDataFiltered.csv,54.085970713273504
7250,Bag of Words (BoW),AllDataFiltered.csv,54.085970713273504
7500,Bag of Words (BoW),AllDataFiltered.csv,54.22768068020785
7750,Bag of Words (BoW),AllDataFiltered.csv,54.22768068020785
8000,Bag of Words (BoW),AllDataFiltered.csv,53.991497401983935
8250,Bag of Words (BoW),AllDataFiltered.csv,53.8497874350496
8500,Bag of Words (BoW),AllDataFiltered.csv,53.8497874350496
8750,Bag of Words (BoW),AllDataFiltered.csv,54.085970713273504
9000,Bag of Words (BoW),AllDataFiltered.csv,54.18044402456306
9250,Bag of Words (BoW),AllDataFiltered.csv,54.13320736891828
9500,Bag of Words (BoW),AllDataFiltered.csv,54.18044402456306
9750,Bag of Words (BoW),AllDataFiltered.csv,53.89702409069438
10000,Bag of Words (BoW),AllDataFiltered.csv,53.660840812470475
10250,Bag of Words (BoW),AllDataFiltered.csv,53.51913084553613
10500,Bag of Words (BoW),AllDataFiltered.csv,53.75531412376004
10750,Bag of Words (BoW),AllDataFiltered.csv,53.75531412376004
11000,Bag of Words (BoW),AllDataFiltered.csv,53.56636750118091
11250,Bag of Words (BoW),AllDataFiltered.csv,53.56636750118091
11500,Bag of Words (BoW),AllDataFiltered.csv,53.75531412376004
11750,Bag of Words (BoW),AllDataFiltered.csv,53.75531412376004
12000,Bag of Words (BoW),AllDataFiltered.csv,53.6136041568257
12250,Bag of Words (BoW),AllDataFiltered.csv,53.6136041568257
12500,Bag of Words (BoW),AllDataFiltered.csv,53.51913084553613
12750,Bag of Words (BoW),AllDataFiltered.csv,53.47189418989136
13000,Bag of Words (BoW),AllDataFiltered.csv,53.56636750118091
13250,Bag of Words (BoW),AllDataFiltered.csv,53.75531412376004
13500,Bag of Words (BoW),AllDataFiltered.csv,53.89702409069438
13750,Bag of Words (BoW),AllDataFiltered.csv,53.944260746339154
14000,Bag of Words (BoW),AllDataFiltered.csv,53.8497874350496
14250,Bag of Words (BoW),AllDataFiltered.csv,53.708077468115256
14500,Bag of Words (BoW),AllDataFiltered.csv,53.47189418989136
14750,Bag of Words (BoW),AllDataFiltered.csv,53.42465753424658
